installation_id,year,free,emission
AT_121,2017,9295,2815
AT_121,2018,9113,2079
AT_121,2019,7510,2913
AT_121,2020,7355,5702
AT_20,2013,2299,46068
AT_20,2014,2058,39383
AT_20,2015,1822,30146
AT_20,2016,1595,24269
AT_20,2017,1374,39888
AT_20,2018,1160,25652
AT_20,2019,953,19078
AT_20,2020,754,11277
AT_43,2013,121686,146969
AT_43,2014,108897,77873
AT_43,2015,96472,111369
AT_43,2016,84439,183596
AT_43,2017,72784,247104
AT_43,2018,61507,220941
AT_43,2019,50595,234327
AT_43,2020,40074,209543
AT_21,2013,3658,16666
AT_21,2014,6546,20746
AT_46,2013,71294,128258
AT_46,2014,63801,111486
AT_46,2015,56521,120859
AT_46,2016,49471,141085
AT_46,2017,42643,123061
AT_46,2018,36036,118548
AT_46,2019,29643,139736
AT_46,2020,23479,137450
AT_45,2013,0,8
AT_45,2014,0,221
AT_45,2015,0,7
AT_45,2016,0,5
AT_45,2017,0,7
AT_122,2013,20746,80408
AT_122,2014,18566,39484
AT_122,2015,16445,21745
AT_122,2016,14388,3438
AT_122,2017,3099,4045
AT_122,2018,2617,5138
AT_122,2019,2150,1221
AT_122,2020,0,2140
AT_26,2013,1803162,2826640
AT_26,2014,1759171,2713186
AT_26,2015,1715882,2804050
AT_26,2016,1675141,2784461
AT_26,2017,1635202,2738604
AT_26,2018,1595273,2824369
AT_26,2019,1555261,2791040
AT_26,2020,1515471,2731772
AT_27,2013,14551,15883
AT_27,2014,14298,15249
AT_27,2015,14045,21180
AT_27,2016,13792,21511
AT_27,2017,13539,15839
AT_27,2018,13285,7126
AT_27,2019,8202,14940
AT_27,2020,8043,9287
AT_28,2013,35925,35433
AT_28,2014,35300,34107
AT_28,2015,34675,34577
AT_28,2016,34050,36104
AT_28,2017,33425,36115
AT_28,2018,32800,38114
AT_28,2019,32174,40932
AT_28,2020,31549,42528
AT_120,2013,14793,1637
AT_120,2014,13425,1227
AT_120,2015,12094,1274
AT_120,2016,10800,1057
AT_120,2017,9546,1058
AT_120,2018,8330,1082
AT_120,2019,7152,2059
AT_120,2020,6017,1974
AT_87,2013,114925,67686
AT_87,2014,112930,67692
AT_87,2015,110911,66093
AT_87,2016,108870,63130
AT_87,2017,106808,57843
AT_87,2018,104724,58292
AT_87,2019,102616,56979
AT_87,2020,100499,45718
AT_109,2013,9195,6821
AT_62,2013,14522,25276
AT_62,2014,13027,24257
AT_62,2015,11571,25271
AT_62,2016,10160,26600
AT_62,2017,8792,27305
AT_62,2018,7466,25242
AT_62,2019,6185,28352
AT_62,2020,4951,31443
AT_32,2013,81174,137326
AT_32,2014,72642,110340
AT_32,2015,64353,126649
AT_32,2016,56327,170029
AT_32,2017,48552,171771
AT_32,2018,41030,146926
AT_32,2019,33751,156799
AT_32,2020,26733,172179
AT_33,2013,32492,38286
AT_33,2014,28393,39473
AT_33,2015,25154,39411
AT_33,2016,22016,39367
AT_33,2017,18977,39436
AT_33,2018,16037,35697
AT_33,2019,13192,37945
AT_33,2020,10449,29090
AT_65,2013,22068,23601
AT_65,2014,21685,24124
AT_65,2015,21297,22927
AT_65,2016,20905,23863
AT_65,2017,20509,23338
AT_65,2018,20110,22018
AT_65,2019,19705,23827
AT_65,2020,19297,22392
AT_6,2013,71150,66565
AT_6,2014,69914,61584
AT_6,2015,68664,62361
AT_6,2016,67400,62533
AT_6,2017,66123,65993
AT_6,2018,64834,58011
AT_6,2019,63529,57869
AT_6,2020,62219,54810
AT_66,2013,12801,7286
AT_66,2014,12578,8783
AT_66,2015,12354,7509
AT_66,2016,12126,8259
AT_66,2017,11897,8034
AT_66,2018,11664,9443
AT_66,2019,11430,9678
AT_66,2020,11194,10911
AT_82,2013,27236,24393
AT_82,2014,26763,23794
AT_82,2015,26284,24445
AT_82,2016,25801,25338
AT_82,2017,25312,25034
AT_82,2018,24818,26805
AT_82,2019,24319,21151
AT_82,2020,23817,21502
AT_71,2013,25325,10304
AT_71,2014,24864,10234
AT_71,2015,24400,10559
AT_71,2016,23932,11629
AT_71,2017,23460,12129
AT_71,2018,22983,12324
AT_71,2019,22503,2126
AT_71,2020,0,77
AT_90,2013,13370,483
AT_90,2014,11965,135
AT_90,2015,10600,251
AT_90,2016,9278,165
AT_90,2017,7997,404
AT_90,2018,6758,233
AT_90,2019,5559,348
AT_90,2020,4403,205
AT_38,2013,79747,87581
AT_38,2014,66637,71758
AT_38,2015,55309,74576
AT_38,2016,48411,64485
AT_38,2017,41728,45330
AT_38,2018,35264,18668
AT_38,2019,7252,6553
AT_38,2020,0,7075
AT_72,2013,134458,149398
AT_72,2014,132123,158757
AT_72,2015,129760,148364
AT_72,2016,127373,158349
AT_72,2017,124959,167489
AT_72,2018,122523,180987
AT_72,2019,120055,119859
AT_72,2020,117581,64954
AT_39,2013,242,102
AT_39,2014,109,664
AT_39,2015,192,502
AT_39,2016,168,2
AT_39,2017,0,270
AT_39,2018,122,2
AT_39,2019,0,3
AT_39,2020,0,13
AT_89,2013,13775,1637
AT_89,2014,12328,4020
AT_89,2015,10921,733
AT_89,2016,9559,739
AT_89,2017,8240,1314
AT_89,2018,6963,1527
AT_89,2019,5727,1957
AT_89,2020,4537,1665
AT_73,2013,71769,74623
AT_73,2014,70521,73104
AT_73,2015,69261,72522
AT_73,2016,67986,72084
AT_73,2017,66698,73649
AT_73,2018,65398,77453
AT_73,2019,64081,76311
AT_73,2020,62760,73925
AT_8,2013,2566,2169
AT_8,2014,2296,1467
AT_8,2015,2034,1471
AT_8,2016,1780,2634
AT_8,2017,1535,3687
AT_8,2018,1297,3060
AT_8,2019,1067,1476
AT_8,2020,845,159
AT_9,2013,35182,32431
AT_9,2014,31484,30003
AT_9,2015,27891,32831
AT_9,2016,24412,34719
AT_9,2017,21043,31624
AT_9,2018,17783,32342
AT_9,2019,14628,31973
AT_9,2020,11586,30696
AT_74,2013,21221,21605
AT_74,2014,20854,15997
AT_74,2015,20480,20411
AT_74,2016,20103,15245
AT_74,2017,19722,18448
AT_74,2018,19338,23683
AT_74,2019,18948,17959
AT_74,2020,18558,7033
AT_58,2013,6938,11838
AT_58,2014,11025,13314
AT_58,2015,9766,13251
AT_58,2016,8546,11680
AT_58,2017,7364,12376
AT_58,2018,6221,11891
AT_58,2019,5114,9926
AT_58,2020,4048,11374
AT_60,2013,25851,34448
AT_60,2014,23136,30960
AT_60,2015,20492,35998
AT_60,2016,17930,56390
AT_60,2017,15445,45450
AT_60,2018,13042,34104
AT_60,2019,10716,37936
AT_60,2020,8477,114940
AT_75,2013,15496,10762
AT_75,2014,15227,12793
AT_75,2015,14955,10484
AT_75,2016,14680,10152
AT_75,2017,14402,12255
AT_75,2018,14121,12001
AT_75,2019,13837,12505
AT_75,2020,13552,11096
AT_104,2013,1787,555
AT_104,2014,397,985
AT_104,2015,703,889
AT_104,2016,615,788
AT_104,2017,529,2332
AT_104,2018,893,1265
AT_104,2019,734,1461
AT_104,2020,581,1281
